locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCGOOAAK_00834	CDS	654	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
PCGOOAAK_00835	CDS	1011	korB	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
PCGOOAAK_00836	CDS	1848	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
PCGOOAAK_00837	CDS	1761	sppA	3.4.21.-	COG0616	Protease 4
PCGOOAAK_00838	CDS	1101	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
PCGOOAAK_00839	CDS	810	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
PCGOOAAK_00840	CDS	1038	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
PCGOOAAK_00841	tRNA	74				tRNA-Phe(gaa)
PCGOOAAK_00842	CDS	2226				hypothetical protein
PCGOOAAK_00843	CDS	1017	yjmD_2	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YjmD
PCGOOAAK_00844	CDS	1257	fucP_2		COG0738	L-fucose-proton symporter
PCGOOAAK_00845	CDS	924				hypothetical protein
PCGOOAAK_00846	CDS	933	fdh_2	1.1.1.122		D-threo-aldose 1-dehydrogenase
PCGOOAAK_00847	CDS	381		5.1.3.29		L-fucose mutarotase
PCGOOAAK_00848	CDS	1641				hypothetical protein
PCGOOAAK_00849	CDS	861	rhaS_2			HTH-type transcriptional activator RhaS
PCGOOAAK_00850	CDS	1896		3.2.1.22		Retaining alpha-galactosidase
PCGOOAAK_00851	CDS	96				hypothetical protein
PCGOOAAK_00852	CDS	1443				hypothetical protein
PCGOOAAK_00853	CDS	732	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
PCGOOAAK_00854	CDS	2652	bamA_1		COG4775	Outer membrane protein assembly factor BamA
PCGOOAAK_00855	CDS	516	skp		COG2825	Chaperone protein Skp
PCGOOAAK_00856	CDS	555				hypothetical protein
PCGOOAAK_00857	CDS	846	murI	5.1.1.3	COG0796	Glutamate racemase
PCGOOAAK_00858	CDS	2286		3.2.1.-		Beta-xylosidase
PCGOOAAK_00859	tRNA	73				tRNA-Arg(cct)
PCGOOAAK_00860	CDS	270	rpsO		COG0184	30S ribosomal protein S15
PCGOOAAK_00861	CDS	1803	typA		COG1217	GTP-binding protein TypA/BipA
PCGOOAAK_00862	CDS	1968	mdoB	2.7.8.20		Phosphoglycerol transferase I
PCGOOAAK_00863	CDS	1359	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PCGOOAAK_00864	CDS	1011				hypothetical protein
PCGOOAAK_00865	CDS	927	gspA		COG1442	General stress protein A
PCGOOAAK_00866	CDS	192				hypothetical protein
PCGOOAAK_00867	CDS	696				hypothetical protein
PCGOOAAK_00868	CDS	981				hypothetical protein
PCGOOAAK_00869	CDS	909	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
PCGOOAAK_00870	CDS	1821	msbA	7.5.2.6		Lipid A export ATP-binding/permease protein MsbA
PCGOOAAK_00871	CDS	897				hypothetical protein
PCGOOAAK_00872	CDS	741				hypothetical protein
PCGOOAAK_00873	CDS	717				hypothetical protein
PCGOOAAK_00874	CDS	1101	pdxB_1	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
PCGOOAAK_00875	CDS	237	acpP_1		COG0236	Acyl carrier protein
PCGOOAAK_00876	CDS	1266	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PCGOOAAK_00877	CDS	1020	rnc	3.1.26.3		Ribonuclease 3
PCGOOAAK_00878	CDS	816				hypothetical protein
PCGOOAAK_00879	CDS	1926				hypothetical protein
PCGOOAAK_00880	CDS	1506				hypothetical protein
PCGOOAAK_00881	CDS	1011	pfkA_1	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase
PCGOOAAK_00882	CDS	450				hypothetical protein
PCGOOAAK_00883	CDS	2571				hypothetical protein
PCGOOAAK_00884	CDS	1482	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PCGOOAAK_00885	CDS	1941		3.2.1.22		Retaining alpha-galactosidase
PCGOOAAK_00886	CDS	1008	arbA	3.2.1.55	COG3507	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase ArbA
PCGOOAAK_00887	CDS	1902				hypothetical protein
PCGOOAAK_00888	CDS	1785				hypothetical protein
PCGOOAAK_00889	CDS	1752				SusD-like protein P2
PCGOOAAK_00890	CDS	3195				TonB-dependent receptor P3
PCGOOAAK_00891	CDS	4197	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_00892	CDS	1980		3.2.1.55		Extracellular exo-alpha-L-arabinofuranosidase
PCGOOAAK_00893	CDS	3348	lacZ_6	3.2.1.23		Beta-galactosidase
PCGOOAAK_00894	CDS	2217				hypothetical protein
PCGOOAAK_00895	CDS	2226				hypothetical protein
PCGOOAAK_00896	CDS	2277				hypothetical protein
PCGOOAAK_00897	CDS	2217				hypothetical protein
PCGOOAAK_00898	CDS	1836				hypothetical protein
PCGOOAAK_00899	CDS	3429				TonB-dependent receptor P3
PCGOOAAK_00900	CDS	1008				hypothetical protein
PCGOOAAK_00901	CDS	564				hypothetical protein
PCGOOAAK_00902	CDS	2106	susB_1	3.2.1.3		Glucan 1,4-alpha-glucosidase SusB
PCGOOAAK_00903	CDS	2352				hypothetical protein
PCGOOAAK_00904	CDS	2844	nagZ	3.2.1.52		Beta-hexosaminidase
PCGOOAAK_00905	CDS	1050	mnmA_2	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
PCGOOAAK_00906	CDS	1497				hypothetical protein
PCGOOAAK_00907	CDS	1299				hypothetical protein
PCGOOAAK_00908	CDS	1008	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
PCGOOAAK_00909	CDS	981				hypothetical protein
PCGOOAAK_00910	CDS	1011	rmd	1.1.1.281		GDP-6-deoxy-D-mannose reductase
PCGOOAAK_00911	CDS	903	mneP		COG0053	Manganese efflux system protein MneP
PCGOOAAK_00912	CDS	2151	rnr	3.1.13.1	COG0557	Ribonuclease R
PCGOOAAK_00913	CDS	132				hypothetical protein
PCGOOAAK_00914	CDS	906				hypothetical protein
PCGOOAAK_00915	CDS	1155	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
PCGOOAAK_00916	CDS	810	rhaD	4.1.2.19	COG0235	Rhamnulose-1-phosphate aldolase
PCGOOAAK_00917	CDS	1011	rhaT		COG0697	L-rhamnose-proton symporter
PCGOOAAK_00918	CDS	1254	rhaA	5.3.1.14	COG4806	L-rhamnose isomerase
PCGOOAAK_00919	CDS	1479	rhaB_1	2.7.1.5		Rhamnulokinase
PCGOOAAK_00920	CDS	894	rhaR_5			HTH-type transcriptional activator RhaR
PCGOOAAK_00921	CDS	3483				hypothetical protein
PCGOOAAK_00922	CDS	1467				SusD-like protein P25
PCGOOAAK_00923	CDS	3312				TonB-dependent receptor P26
PCGOOAAK_00924	CDS	1005				hypothetical protein
PCGOOAAK_00925	CDS	645				hypothetical protein
PCGOOAAK_00926	CDS	321				hypothetical protein
PCGOOAAK_00927	CDS	870				hypothetical protein
PCGOOAAK_00928	CDS	615				hypothetical protein
PCGOOAAK_00929	CDS	648				hypothetical protein
PCGOOAAK_00930	CDS	243				hypothetical protein
PCGOOAAK_00931	CDS	210				hypothetical protein
PCGOOAAK_00932	CDS	1209	mlc		COG1940	Protein mlc
PCGOOAAK_00933	CDS	1083	nanM_1	5.1.3.24		N-acetylneuraminate epimerase
PCGOOAAK_00934	CDS	918	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
PCGOOAAK_00935	CDS	1185	ce	5.1.3.11		Cellobiose 2-epimerase
PCGOOAAK_00936	CDS	1239	mdtG			Multidrug resistance protein MdtG
PCGOOAAK_00937	CDS	447			COG2731	putative protein
PCGOOAAK_00938	CDS	1623				hypothetical protein
PCGOOAAK_00939	CDS	3339				TonB-dependent receptor P3
PCGOOAAK_00940	CDS	1554				hypothetical protein
PCGOOAAK_00941	CDS	2013				hypothetical protein
PCGOOAAK_00942	CDS	663				hypothetical protein
PCGOOAAK_00943	CDS	2076				hypothetical protein
PCGOOAAK_00944	CDS	1521	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
PCGOOAAK_00945	CDS	2244	ptpA_1	3.4.14.12	COG1506	Prolyl tripeptidyl peptidase
PCGOOAAK_00946	CDS	1275	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
PCGOOAAK_00947	CDS	936				hypothetical protein
PCGOOAAK_00948	CDS	480	yqaA		COG1238	Inner membrane protein YqaA
PCGOOAAK_00949	CDS	984	cpdA_2	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PCGOOAAK_00950	CDS	666	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
PCGOOAAK_00951	CDS	870	mtsA		COG0803	Metal ABC transporter substrate-binding lipoprotein
PCGOOAAK_00952	CDS	768	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PCGOOAAK_00953	CDS	3333				hypothetical protein
PCGOOAAK_00954	CDS	612		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
PCGOOAAK_00955	CDS	1236				hypothetical protein
PCGOOAAK_00956	CDS	795	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
PCGOOAAK_00957	CDS	1416	dacC	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
PCGOOAAK_00958	CDS	1341	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
PCGOOAAK_00959	CDS	393				hypothetical protein
PCGOOAAK_00960	CDS	495				hypothetical protein
PCGOOAAK_00961	CDS	1587	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PCGOOAAK_00962	tRNA	75				tRNA-Ala(tgc)
PCGOOAAK_00963	tRNA	78				tRNA-Ile(gat)
PCGOOAAK_00964	CDS	1281	eno	4.2.1.11	COG0148	Enolase
PCGOOAAK_00965	CDS	579	rbr		COG1592	Rubrerythrin
PCGOOAAK_00966	CDS	1695	dauA		COG0659	C4-dicarboxylic acid transporter DauA
PCGOOAAK_00967	CDS	2043				hypothetical protein
PCGOOAAK_00968	CDS	606				hypothetical protein
PCGOOAAK_00969	CDS	666	trmH	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
PCGOOAAK_00970	CDS	993	nadA	2.5.1.72	COG0379	Quinolinate synthase A
PCGOOAAK_00971	tRNA	75				tRNA-Asp(gtc)
PCGOOAAK_00972	CDS	303				hypothetical protein
PCGOOAAK_00973	CDS	1398				hypothetical protein
PCGOOAAK_00974	CDS	780				hypothetical protein
PCGOOAAK_00975	CDS	2622	mutS_3		COG0249	DNA mismatch repair protein MutS
PCGOOAAK_00976	CDS	507				hypothetical protein
PCGOOAAK_00977	CDS	987	ppx	3.6.1.11	COG0248	Exopolyphosphatase
PCGOOAAK_00978	CDS	2070	ppk_2	2.7.4.1	COG0855	Polyphosphate kinase
PCGOOAAK_00979	CDS	1119				hypothetical protein
PCGOOAAK_00980	CDS	810				hypothetical protein
PCGOOAAK_00981	CDS	192				hypothetical protein
PCGOOAAK_00982	CDS	621	lysO_1		COG2431	Lysine exporter LysO
PCGOOAAK_00983	CDS	285				hypothetical protein
PCGOOAAK_00984	CDS	96				hypothetical protein
PCGOOAAK_00985	tRNA	72				tRNA-Gln(ttg)
PCGOOAAK_00986	CDS	3231	tri1_1	3.4.21.-	COG0793	Tricorn protease 
PCGOOAAK_00987	CDS	1293	tyrS	6.1.1.1		Tyrosine--tRNA ligase
PCGOOAAK_00988	CDS	657	dtd3_1	3.1.1.96		D-aminoacyl-tRNA deacylase
PCGOOAAK_00989	CDS	396	rnpA	3.1.26.5		Ribonuclease P protein component
PCGOOAAK_00990	CDS	747				hypothetical protein
PCGOOAAK_00991	CDS	810				hypothetical protein
PCGOOAAK_00992	CDS	588		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
PCGOOAAK_00993	CDS	1296	metK	2.5.1.6		S-adenosylmethionine synthase
PCGOOAAK_00994	CDS	459	sulD		COG0801	Bifunctional folate synthesis protein
PCGOOAAK_00995	CDS	1056	queA_2	2.4.99.17		S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PCGOOAAK_00996	CDS	705	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
PCGOOAAK_00997	CDS	804	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
PCGOOAAK_00998	CDS	249				hypothetical protein
PCGOOAAK_00999	CDS	870	ftsX		COG2177	Cell division protein FtsX
PCGOOAAK_01000	CDS	897	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
PCGOOAAK_01001	CDS	165				hypothetical protein
PCGOOAAK_01002	CDS	1374	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
PCGOOAAK_01003	CDS	348				hypothetical protein
PCGOOAAK_01004	CDS	1497	scpC_1	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
PCGOOAAK_01005	CDS	2151				hypothetical protein
PCGOOAAK_01006	CDS	1914	yesW_1	4.2.2.23		Rhamnogalacturonan endolyase YesW
PCGOOAAK_01007	CDS	1440				hypothetical protein
PCGOOAAK_01008	CDS	624				hypothetical protein
PCGOOAAK_01009	CDS	2073		3.2.1.23		Beta-galactosidase
PCGOOAAK_01010	CDS	3258				hypothetical protein
PCGOOAAK_01011	CDS	2097				hypothetical protein
PCGOOAAK_01012	CDS	3132				TonB-dependent receptor P39
PCGOOAAK_01013	CDS	2994		3.2.1.31		Beta-glucuronidase
PCGOOAAK_01014	CDS	2439		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PCGOOAAK_01015	CDS	2835	leuS	6.1.1.4		Leucine--tRNA ligase
PCGOOAAK_01016	CDS	897				hypothetical protein
PCGOOAAK_01017	CDS	2553	lacZ_7	3.2.1.23		Beta-galactosidase
PCGOOAAK_01018	CDS	2310				hypothetical protein
PCGOOAAK_01019	CDS	585		3.6.1.66		dITP/XTP pyrophosphatase
PCGOOAAK_01020	CDS	3078				TonB-dependent receptor P3
PCGOOAAK_01021	CDS	1491				SusD-like protein P2
PCGOOAAK_01022	CDS	969				hypothetical protein
PCGOOAAK_01023	CDS	651	cat	2.3.1.28		Chloramphenicol acetyltransferase
PCGOOAAK_01024	CDS	912				hypothetical protein
PCGOOAAK_01025	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
PCGOOAAK_01026	CDS	387				hypothetical protein
PCGOOAAK_01027	CDS	2769	polA	2.7.7.7	COG0258	DNA polymerase I
PCGOOAAK_01028	CDS	975	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
PCGOOAAK_01029	CDS	942	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
PCGOOAAK_01030	CDS	321	ypjD		COG1694	putative protein YpjD
PCGOOAAK_01031	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
PCGOOAAK_01032	CDS	1833	uvrC		COG0322	UvrABC system protein C
PCGOOAAK_01033	CDS	525	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
PCGOOAAK_01034	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PCGOOAAK_01035	CDS	423	ybeY	3.1.-.-		Endoribonuclease YbeY
PCGOOAAK_01036	CDS	1233				hypothetical protein
PCGOOAAK_01037	CDS	1119				hypothetical protein
PCGOOAAK_01038	CDS	1131	yghO_1			Protein YghO
PCGOOAAK_01039	CDS	1938	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
PCGOOAAK_01040	CDS	459	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
PCGOOAAK_01041	CDS	1590				hypothetical protein
PCGOOAAK_01042	CDS	690				hypothetical protein
PCGOOAAK_01043	CDS	1983	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
PCGOOAAK_01044	CDS	756	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
PCGOOAAK_01045	CDS	1215				hypothetical protein
PCGOOAAK_01046	CDS	471				hypothetical protein
PCGOOAAK_01047	CDS	561				hypothetical protein
PCGOOAAK_01048	CDS	1482				hypothetical protein
PCGOOAAK_01049	CDS	111				hypothetical protein
PCGOOAAK_01050	CDS	1413				hypothetical protein
PCGOOAAK_01051	CDS	1038				hypothetical protein
PCGOOAAK_01052	CDS	1518				hypothetical protein
PCGOOAAK_01053	CDS	2256	fimD			Major fimbrium tip subunit FimD
PCGOOAAK_01054	CDS	2856				hypothetical protein
PCGOOAAK_01055	CDS	1440				hypothetical protein
PCGOOAAK_01056	CDS	1245				hypothetical protein
PCGOOAAK_01057	CDS	1455				hypothetical protein
PCGOOAAK_01058	CDS	1983				hypothetical protein
PCGOOAAK_01059	CDS	1113				hypothetical protein
PCGOOAAK_01060	CDS	408		3.1.-.-	COG0824	Putative esterase
PCGOOAAK_01061	CDS	984	dusC	1.3.1.-		tRNA-dihydrouridine(16) synthase
PCGOOAAK_01062	CDS	519				hypothetical protein
PCGOOAAK_01063	CDS	810				hypothetical protein
PCGOOAAK_01064	CDS	2601				hypothetical protein
PCGOOAAK_01065	CDS	1089				hypothetical protein
PCGOOAAK_01066	CDS	615				hypothetical protein
PCGOOAAK_01067	CDS	126				hypothetical protein
PCGOOAAK_01068	CDS	1272				hypothetical protein
PCGOOAAK_01069	CDS	756	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PCGOOAAK_01070	CDS	1425				hypothetical protein
PCGOOAAK_01071	CDS	918				hypothetical protein
PCGOOAAK_01072	CDS	651				hypothetical protein
PCGOOAAK_01073	CDS	675				hypothetical protein
PCGOOAAK_01074	CDS	894				hypothetical protein
PCGOOAAK_01075	CDS	1059				hypothetical protein
PCGOOAAK_01076	CDS	2094	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
PCGOOAAK_01077	CDS	2994	secD			Protein translocase subunit SecD
PCGOOAAK_01078	CDS	4095	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_01079	CDS	1536				hypothetical protein
PCGOOAAK_01080	CDS	3042				TonB-dependent receptor P3
PCGOOAAK_01081	CDS	1698				SusD-like protein P2
PCGOOAAK_01082	CDS	1611				hypothetical protein
PCGOOAAK_01083	CDS	2406		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
PCGOOAAK_01084	CDS	486	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
PCGOOAAK_01085	CDS	696	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
PCGOOAAK_01086	CDS	2490				hypothetical protein
PCGOOAAK_01087	CDS	765				hypothetical protein
PCGOOAAK_01088	CDS	1263	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PCGOOAAK_01089	CDS	1077				hypothetical protein
PCGOOAAK_01090	CDS	1062				hypothetical protein
PCGOOAAK_01091	CDS	888				hypothetical protein
PCGOOAAK_01092	CDS	966				hypothetical protein
PCGOOAAK_01093	CDS	1446				hypothetical protein
PCGOOAAK_01094	CDS	2043	metG	6.1.1.10	COG0073	Methionine--tRNA ligase
PCGOOAAK_01095	CDS	1401	cpdA_3	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
PCGOOAAK_01096	CDS	1470				hypothetical protein
PCGOOAAK_01097	CDS	3198				TonB-dependent receptor P26
PCGOOAAK_01098	CDS	123				hypothetical protein
PCGOOAAK_01099	CDS	2313				hypothetical protein
PCGOOAAK_01100	CDS	2019				hypothetical protein
PCGOOAAK_01101	CDS	3582	lacZ_8	3.2.1.23		Beta-galactosidase
PCGOOAAK_01102	CDS	1569		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
PCGOOAAK_01103	CDS	1128	mnmA_3	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
PCGOOAAK_01104	CDS	807				hypothetical protein
PCGOOAAK_01105	CDS	1026	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
PCGOOAAK_01106	CDS	1491				hypothetical protein
PCGOOAAK_01107	CDS	1359				hypothetical protein
PCGOOAAK_01108	CDS	357				hypothetical protein
PCGOOAAK_01109	CDS	627				IS3 family transposase ISPg5
PCGOOAAK_01110	CDS	759				hypothetical protein
PCGOOAAK_01111	tRNA	75				tRNA-Met(cat)
PCGOOAAK_01112	CDS	2628		7.2.2.10	COG0474	Calcium-transporting ATPase
PCGOOAAK_01113	CDS	624		3.1.3.-	COG1011	D-ribitol-5-phosphate phosphatase
PCGOOAAK_01114	CDS	933	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
PCGOOAAK_01115	CDS	1890	deaD	3.6.4.13		ATP-dependent RNA helicase DeaD
PCGOOAAK_01116	CDS	324				hypothetical protein
PCGOOAAK_01117	CDS	408	rpsL			30S ribosomal protein S12
PCGOOAAK_01118	CDS	450	rpsG			30S ribosomal protein S7
PCGOOAAK_01119	CDS	2118	fusA_1		COG0480	Elongation factor G
PCGOOAAK_01120	CDS	306	rpsJ		COG0051	30S ribosomal protein S10
PCGOOAAK_01121	CDS	618	rplC		COG0087	50S ribosomal protein L3
PCGOOAAK_01122	CDS	630	rplD			50S ribosomal protein L4
PCGOOAAK_01123	CDS	291	rplW		COG0089	50S ribosomal protein L23
PCGOOAAK_01124	CDS	822	rplB		COG0090	50S ribosomal protein L2
PCGOOAAK_01125	CDS	270	rpsS			30S ribosomal protein S19
PCGOOAAK_01126	CDS	408				hypothetical protein
PCGOOAAK_01127	CDS	732	rpsC		COG0092	30S ribosomal protein S3
PCGOOAAK_01128	CDS	432	rplP		COG0197	50S ribosomal protein L16
PCGOOAAK_01129	CDS	195				hypothetical protein
PCGOOAAK_01130	CDS	258	rpsQ			30S ribosomal protein S17
PCGOOAAK_01131	CDS	366	rplN		COG0093	50S ribosomal protein L14
PCGOOAAK_01132	CDS	324	rplX			50S ribosomal protein L24
PCGOOAAK_01133	CDS	558	rplE		COG0094	50S ribosomal protein L5
PCGOOAAK_01134	CDS	300	rpsN		COG0199	30S ribosomal protein S14
PCGOOAAK_01135	CDS	396	rpsH		COG0096	30S ribosomal protein S8
PCGOOAAK_01136	CDS	570	rplF		COG0097	50S ribosomal protein L6
PCGOOAAK_01137	CDS	342	rplR		COG0256	50S ribosomal protein L18
PCGOOAAK_01138	CDS	516	rpsE		COG0098	30S ribosomal protein S5
PCGOOAAK_01139	CDS	177	rpmD		COG1841	50S ribosomal protein L30
PCGOOAAK_01140	CDS	447	rplO		COG0200	50S ribosomal protein L15
PCGOOAAK_01141	CDS	1347	secY		COG0201	Protein translocase subunit SecY
PCGOOAAK_01142	CDS	798	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
PCGOOAAK_01143	CDS	219	infA			Translation initiation factor IF-1
PCGOOAAK_01144	CDS	117	rpmJ		COG0257	50S ribosomal protein L36
PCGOOAAK_01145	CDS	381	rpsM			30S ribosomal protein S13
PCGOOAAK_01146	CDS	390	rpsK			30S ribosomal protein S11
PCGOOAAK_01147	CDS	606	rpsD			30S ribosomal protein S4
PCGOOAAK_01148	CDS	993	rpoA_2	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit alpha
PCGOOAAK_01149	CDS	495				hypothetical protein
PCGOOAAK_01150	CDS	432	sufE		COG2166	Cysteine desulfuration protein SufE
PCGOOAAK_01151	CDS	1002	ywaD	3.4.11.6	COG2234	Aminopeptidase YwaD
PCGOOAAK_01152	CDS	1770				hypothetical protein
PCGOOAAK_01153	CDS	1614				hypothetical protein
PCGOOAAK_01154	CDS	717	lldR		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
PCGOOAAK_01155	CDS	2550	nanM_2	5.1.3.24		N-acetylneuraminate epimerase
PCGOOAAK_01156	CDS	918	nanA_2	4.1.3.3	COG0329	N-acetylneuraminate lyase
PCGOOAAK_01157	CDS	3291				TonB-dependent receptor P26
PCGOOAAK_01158	CDS	1458				SusD-like protein P38
PCGOOAAK_01159	CDS	1026				hypothetical protein
PCGOOAAK_01160	CDS	1629				hypothetical protein
PCGOOAAK_01161	CDS	921	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
PCGOOAAK_01162	CDS	1080	buk2	2.7.2.7	COG3426	Butyrate kinase 2
PCGOOAAK_01163	CDS	318				hypothetical protein
PCGOOAAK_01164	CDS	471	asnC_1		COG1522	Regulatory protein AsnC
PCGOOAAK_01165	CDS	531	nudC_1	3.6.1.22		NADH pyrophosphatase
PCGOOAAK_01166	CDS	3018	cpoB			Cell division coordinator CpoB
PCGOOAAK_01167	CDS	1662				hypothetical protein
PCGOOAAK_01168	CDS	1041	ribD		COG0117	Riboflavin biosynthesis protein RibD
PCGOOAAK_01169	CDS	843	prmC	2.1.1.297		Release factor glutamine methyltransferase
PCGOOAAK_01170	CDS	480	recX			Regulatory protein RecX
PCGOOAAK_01171	CDS	690				hypothetical protein
PCGOOAAK_01172	CDS	636	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
PCGOOAAK_01173	CDS	429				hypothetical protein
PCGOOAAK_01174	CDS	1341	argH	4.3.2.1	COG0165	Argininosuccinate lyase
PCGOOAAK_01175	tRNA	74				tRNA-Gly(gcc)
PCGOOAAK_01176	tRNA	86				tRNA-Leu(taa)
PCGOOAAK_01177	CDS	930	dnaJ_1		COG0484	Chaperone protein DnaJ
PCGOOAAK_01178	CDS	432				hypothetical protein
PCGOOAAK_01179	CDS	90				hypothetical protein
PCGOOAAK_01180	CDS	1119				hypothetical protein
PCGOOAAK_01181	CDS	1005				hypothetical protein
PCGOOAAK_01182	CDS	822				hypothetical protein
PCGOOAAK_01183	CDS	2367	ptk_1	2.7.10.-	COG0489	Tyrosine-protein kinase ptk
PCGOOAAK_01184	CDS	753				hypothetical protein
PCGOOAAK_01185	CDS	897				hypothetical protein
PCGOOAAK_01186	CDS	1032	lnpD_1	5.1.3.2		UDP-glucose 4-epimerase
PCGOOAAK_01187	CDS	801				hypothetical protein
PCGOOAAK_01188	CDS	1143	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
PCGOOAAK_01189	CDS	663				hypothetical protein
PCGOOAAK_01190	CDS	969				hypothetical protein
PCGOOAAK_01191	CDS	609	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
PCGOOAAK_01192	CDS	1140	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PCGOOAAK_01193	CDS	1146	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
PCGOOAAK_01194	CDS	996	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PCGOOAAK_01195	CDS	1026	epsJ_1	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
PCGOOAAK_01196	CDS	1128	epsF_1	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
PCGOOAAK_01197	CDS	900				hypothetical protein
PCGOOAAK_01198	CDS	1074				hypothetical protein
PCGOOAAK_01199	CDS	693				hypothetical protein
PCGOOAAK_01200	CDS	1206				hypothetical protein
PCGOOAAK_01201	CDS	1056	epsJ_2	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
PCGOOAAK_01202	CDS	1215				hypothetical protein
PCGOOAAK_01203	CDS	1014				hypothetical protein
